claim_id,note_id,note_date,record_type,note_type,author_role,event_type,correspondence_type,sender_type,sender_id,recipient_type,recipient_id,subject,related_third_party_id,note_text
CLM00001,NOTE00000001,2022-02-14 12:40:00,Event,Claim Handling,System,FNOL,,,,,,,,First Notice of Loss received for reported vandalism damage. Date of loss reported as 2022-02-07.
CLM00001,NOTE00000002,2022-02-14 14:30:00,Event,Claim Handling,System,Claim Assigned,,,,,,,,Claim assigned to the property claims queue for initial triage and adjuster assignment.
CLM00001,NOTE00000003,2022-02-15 11:05:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Claim Adjuster,,Customer,,Initial claim contact,,"Initial call with policyholder completed. Confirmed reported cause of loss and discussed photographs, repair documentation and inspection expectations."
CLM00001,NOTE00000024,2022-02-15 12:10:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00001,NOTE00000004,2022-02-16 10:40:00,Correspondence,Document Request,Claim Adjuster,,Portal Message,Claim Adjuster,,Customer,,Supporting claim documentation,,"Requested available photographs, invoices, repair proposals and any emergency-service documentation."
CLM00001,NOTE00000019,2022-02-16 13:00:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000018,2022-02-16 17:40:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00001,NOTE00000011,2022-02-18 09:30:00,Event,Third Party,System,Third Party Added,,,,,,,TP00019,Mitigation Company added to the claim: Everglade Loss Mitigation.
CLM00001,NOTE00000021,2022-02-18 13:15:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and observations reviewed for completeness.
CLM00001,NOTE00000005,2022-02-19 08:20:00,Event,Inspection,System,Inspection Scheduled,,,,,,,,Property inspection scheduled and inspection assignment confirmed.
CLM00001,NOTE00000039,2022-02-20 09:50:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00001,NOTE00000006,2022-02-21 12:00:00,Event,Inspection,System,Inspection Completed,,,,,,,,Initial inspection completed. Photographs and scope observations documented for the reported vandalism damage.
CLM00001,NOTE00000008,2022-02-21 12:10:00,Event,Third Party,System,Third Party Added,,,,,,,TP00081,Inspector added to the claim: HomeScope Inspections.
