claim_id,estimate_id,estimate_date,estimate_source,third_party_id,estimate_type,estimate_amount,building_amount,contents_amount,other_structures_amount,loss_of_use_amount,estimate_status,estimate_description
CLM00001,EST0000001,2022-02-21,Carrier,,Initial,6900,5584,557,256,503,Final,Initial carrier estimate following inspection and scope review.
CLM00001,EST0000002,2022-03-09,General Contractor,TP00056,General Contractor Estimate,6400,5039,215,190,956,Under Review,Estimate submitted by involved general contractor.
CLM00002,EST0000003,2023-02-20,Carrier,,Initial,18000,13347,1897,327,2429,Superseded,Initial carrier estimate following inspection and scope review.
CLM00002,EST0000004,2023-03-07,Roofer,TP00034,Roofer Estimate,34600,30521,854,2551,674,Partially Accepted,Estimate submitted by involved roofer.
CLM00002,EST0000005,2023-04-07,Roofer,,Supplement,38300,27705,1721,609,8265,Under Review,Updated estimate following reinspection and documentation review.
CLM00002,EST0000006,2023-04-10,Carrier,TP00034,Supplement,40400,31723,1486,1437,5754,Under Review,Supplemental estimate received with additional repair line items.
CLM00002,EST0000007,2023-03-25,Roofer,,Revised,41700,32949,1870,3199,3682,Under Review,Updated estimate following reinspection and documentation review.
CLM00002,EST0000008,2023-05-21,Carrier,TP00034,Supplement,43400,32195,4459,2572,4174,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00003,EST0000009,2025-05-31,Carrier,,Initial,34200,29852,1911,2498,0,Superseded,Initial carrier estimate following inspection and scope review.
CLM00003,EST0000010,2025-06-15,Plumber,TP00039,Plumber Estimate,57000,45439,4352,1376,5833,Partially Accepted,Estimate submitted by involved plumber.
CLM00003,EST0000011,2025-08-01,Carrier,TP00039,Supplement,69000,57896,2612,2283,6209,Under Review,Supplemental estimate received with additional repair line items.
CLM00003,EST0000012,2025-07-18,Carrier,,Revised,84500,71149,6991,6626,0,Under Review,Supplemental estimate received with additional repair line items.
CLM00003,EST0000013,2025-08-08,Plumber,,Revised,95300,70573,3793,3961,16973,Under Review,Revised estimate created following scope reconciliation.
CLM00003,EST0000014,2025-07-16,Plumber,,Supplement,101600,82841,2752,3681,12326,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00004,EST0000015,2024-01-01,Carrier,,Initial,15700,13240,1357,318,785,Final,Initial carrier estimate following inspection and scope review.
CLM00004,EST0000016,2024-01-07,General Contractor,TP00057,General Contractor Estimate,19600,16790,1412,1266,132,Under Review,Estimate submitted by involved general contractor.
CLM00005,EST0000017,2024-06-16,Carrier,,Initial,20800,17494,1248,577,1481,Final,Initial carrier estimate following inspection and scope review.
CLM00006,EST0000018,2024-10-29,Carrier,,Initial,49300,39921,1072,2929,5378,Superseded,Initial carrier estimate following inspection and scope review.
CLM00006,EST0000019,2024-11-06,Roofer,TP00031,Roofer Estimate,46800,41882,1203,864,2851,Partially Accepted,Estimate submitted by involved roofer.
CLM00007,EST0000020,2025-11-04,Carrier,,Initial,121900,104522,10294,5979,1105,Superseded,Initial carrier estimate following inspection and scope review.
